FFT0,FFT1,FFT2,FFT3,FFT4,BEAT
0,0,27,0,0,0
0,0,14,0,0,0
53,13,1,0,0,0
0,6,0,0,0,0
39,10,0,0,5,0
48,15,0,6,4,0
12,3,0,0,0,0
0,0,0,0,0,0
77,31,0,5,6,0
0,9,0,4,4,0
33,4,0,3,0,0
0,0,2,0,0,0
0,0,4,0,0,0
32,4,1,0,0,0
75,27,0,2,1,0
0,0,13,2,0,1
18,0,11,1,5,0
0,0,2,1,1,0
0,0,1,0,2,0
42,8,0,3,3,0
20,12,0,3,3,0
0,3,3,4,5,0
0,0,0,0,0,0
0,0,1,4,0,0
50,13,0,1,0,0
50,8,0,0,0,0
36,3,0,3,3,0
7,0,0,3,0,0
17,0,0,0,0,0
0,0,0,0,0,0
10,22,0,0,0,0
62,20,0,0,0,0
51,19,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
26,7,0,1,1,0
39,27,0,0,1,0
0,4,0,1,1,0
0,4,0,4,0,0
0,0,0,2,0,0
32,7,0,0,0,0
33,10,1,0,0,0
29,6,0,4,0,0
20,9,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
24,16,5,0,0,0
60,25,0,0,0,0
49,22,4,0,0,0
23,5,0,0,0,0
0,0,0,0,0,0
0,0,4,0,2,0
3,0,0,4,3,0
0,0,9,8,6,0
50,25,1,5,8,1
0,0,3,0,0,0
0,0,0,0,0,0
35,8,0,2,0,0
14,0,0,1,6,0
5,0,1,0,0,0
0,0,8,4,0,0
0,0,0,2,0,0
0,0,2,2,0,0
17,0,6,3,0,0
30,10,3,0,1,0
2,0,3,0,6,1
0,0,0,0,2,0
0,0,0,0,0,0
30,14,0,0,0,0
21,0,0,0,0,0
35,7,0,1,0,0
0,0,0,4,30,0
0,0,0,0,14,0
34,11,0,2,8,0
60,30,0,1,0,0
17,8,0,0,0,0
35,10,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
26,10,0,0,0,0
33,23,0,0,0,0
6,5,0,0,0,0
0,0,16,12,0,0
0,0,17,3,0,0
7,13,3,0,0,0
20,1,9,0,0,0
0,6,3,0,0,0
31,8,7,0,0,0
13,6,0,0,0,0
0,0,3,0,0,0
41,29,0,0,0,0
20,4,0,0,0,0
0,8,6,1,5,0
0,0,0,3,5,0
0,0,0,14,9,0
0,0,6,9,13,0
0,0,13,7,7,0
0,0,13,6,8,0
0,0,9,4,2,0
0,0,1,6,7,0
0,0,3,4,6,0
0,0,0,0,12,0
0,0,10,6,5,0
0,0,13,11,5,0
0,0,38,0,0,0
0,0,16,0,0,0
41,8,6,0,0,0
98,32,7,0,0,0
66,22,0,0,0,0
0,0,0,3,4,0
0,0,2,1,0,0
0,0,2,5,0,0
0,0,0,0,3,0
0,0,0,7,3,0
0,0,0,0,5,0
0,0,6,0,0,0
